t ch1 ch2 ch3
464 -4.00e-04 2.00e-04 8.00e+00
465 4.00e-04 -2.00e-04 8.80e+00
466 -4.00e-04 2.00e-04 8.00e+00
467 4.00e-04 -2.00e-04 8.80e+00
468 4.00e-04 0.00e+00 8.00e+00
469 0.00e+00 4.00e-04 9.60e+00
470 4.00e-04 4.00e-04 9.60e+00
471 -4.00e-04 0.00e+00 8.80e+00
472 4.00e-04 2.00e-04 9.60e+00
473 -4.00e-04 -2.00e-04 8.80e+00
474 4.00e-04 0.00e+00 8.80e+00
475 -4.00e-04 4.00e-04 1.04e+01
476 4.00e-04 2.00e-04 1.12e+01
477 -4.00e-04 0.00e+00 1.04e+01
478 4.00e-04 0.00e+00 1.04e+01
479 -4.00e-04 4.00e-04 1.12e+01
480 4.00e-04 4.00e-04 1.04e+01
481 -4.00e-04 0.00e+00 1.20e+01
482 4.00e-04 0.00e+00 1.12e+01
483 -4.00e-04 4.00e-04 1.20e+01
484 4.00e-04 2.00e-04 1.12e+01
485 -4.00e-04 -2.00e-04 1.20e+01
486 1.20e-03 0.00e+00 1.12e+01
487 -4.00e-04 2.00e-04 1.28e+01
488 4.00e-04 4.00e-04 1.28e+01
489 -4.00e-04 -2.00e-04 1.36e+01
490 -4.00e-04 0.00e+00 1.28e+01
491 4.00e-04 4.00e-04 1.36e+01
492 4.00e-04 0.00e+00 1.28e+01
493 -4.00e-04 4.00e-04 1.44e+01
494 4.00e-04 0.00e+00 1.44e+01
495 -4.00e-04 4.00e-04 1.36e+01
496 -4.00e-04 0.00e+00 1.44e+01
497 4.00e-04 4.00e-04 1.36e+01
498 4.00e-04 0.00e+00 1.36e+01
499 -4.00e-04 4.00e-04 1.52e+01
500 4.00e-04 0.00e+00 1.52e+01
501 -4.00e-04 4.00e-04 1.52e+01
502 4.00e-04 2.00e-04 1.52e+01
503 -4.00e-04 -2.00e-04 1.60e+01
504 4.00e-04 0.00e+00 1.52e+01
505 -4.00e-04 2.00e-04 1.68e+01
506 4.00e-04 2.00e-04 1.68e+01
507 -4.00e-04 0.00e+00 1.60e+01
508 -4.00e-04 0.00e+00 1.68e+01
509 4.00e-04 4.00e-04 1.60e+01
510 4.00e-04 0.00e+00 1.60e+01
511 -4.00e-04 4.00e-04 1.84e+01
512 4.00e-04 0.00e+00 1.76e+01
513 -4.00e-04 4.00e-04 1.76e+01
514 4.00e-04 0.00e+00 1.76e+01
515 -4.00e-04 4.00e-04 1.76e+01
516 4.00e-04 2.00e-04 1.76e+01
517 -4.00e-04 0.00e+00 1.92e+01
518 -4.00e-04 0.00e+00 1.84e+01
519 4.00e-04 4.00e-04 1.92e+01
520 4.00e-04 0.00e+00 1.84e+01
521 -4.00e-04 4.00e-04 1.92e+01
522 4.00e-04 0.00e+00 1.84e+01
523 -4.00e-04 4.00e-04 2.00e+01
524 4.00e-04 4.00e-04 2.00e+01
525 -4.00e-04 0.00e+00 1.84e+01
526 -4.00e-04 0.00e+00 2.00e+01
527 4.00e-04 4.00e-04 2.00e+01
528 4.00e-04 0.00e+00 2.00e+01
529 -4.00e-04 6.00e-04 2.16e+01
530 -4.00e-04 2.00e-04 2.00e+01
531 4.00e-04 1.00e-03 2.16e+01
532 4.00e-04 4.00e-04 2.08e+01
533 -4.00e-04 2.40e-03 2.16e+01
534 4.00e-04 2.20e-03 2.08e+01
535 -4.00e-04 9.40e-03 2.24e+01
536 -4.00e-04 8.60e-03 2.24e+01
537 4.00e-04 1.22e-02 2.08e+01
538 -4.00e-04 9.80e-03 2.24e+01
539 4.00e-04 4.60e-03 2.24e+01
540 4.00e-04 4.40e-03 2.24e+01
541 -4.00e-04 2.40e-03 2.24e+01
542 4.00e-04 2.40e-03 2.24e+01
543 -4.00e-04 1.80e-03 2.40e+01
544 4.00e-04 2.00e-03 2.40e+01
545 -4.00e-04 1.20e-03 2.32e+01
546 4.00e-04 1.20e-03 2.40e+01
547 -4.00e-04 4.00e-04 2.32e+01
548 -4.00e-04 1.00e-03 2.32e+01
549 1.20e-03 6.00e-04 2.48e+01
550 0.00e+00 1.00e-03 2.48e+01
551 8.00e-04 2.00e-04 2.40e+01
552 4.00e-04 6.00e-04 2.48e+01
553 -4.00e-04 0.00e+00 2.40e+01
554 4.00e-04 0.00e+00 2.48e+01
555 -4.00e-04 4.00e-04 2.64e+01
556 -4.00e-04 0.00e+00 2.64e+01
557 4.00e-04 4.00e-04 2.56e+01
558 4.00e-04 0.00e+00 2.56e+01
559 -4.00e-04 4.00e-04 2.64e+01
560 4.00e-04 0.00e+00 2.56e+01
561 -4.00e-04 4.00e-04 2.72e+01
562 4.00e-04 0.00e+00 2.72e+01
563 -4.00e-04 4.00e-04 2.72e+01
564 4.00e-04 0.00e+00 2.72e+01
565 -4.00e-04 4.00e-04 2.64e+01
566 -4.00e-04 4.00e-04 2.72e+01
567 4.00e-04 0.00e+00 2.88e+01
568 4.00e-04 0.00e+00 2.80e+01
569 -4.00e-04 4.00e-04 2.88e+01
570 4.00e-04 0.00e+00 2.80e+01
571 -4.00e-04 4.00e-04 2.88e+01
572 4.00e-04 0.00e+00 2.80e+01
573 -4.00e-04 4.00e-04 2.96e+01
574 4.00e-04 2.00e-04 2.96e+01
575 -4.00e-04 0.00e+00 2.88e+01
